Epoch 0, Loss : 0.25379200265997887
Epoch 2, Loss : 0.2535785295041106
Epoch 4, Loss : 0.25337810940040556
Epoch 6, Loss : 0.25321119248561974
Epoch 8, Loss : 0.25305828986772066
Epoch 10, Loss : 0.2529152072158183
Epoch 12, Loss : 0.2527811102520791
Epoch 14, Loss : 0.252655235813121
Epoch 16, Loss : 0.25253688516144446
Epoch 18, Loss : 0.25242541795558043
Epoch 20, Loss : 0.25232024680955334
Epoch 22, Loss : 0.2522208323800501
Epoch 24, Loss : 0.2521266789265411
Epoch 26, Loss : 0.25203949815848814
Epoch 28, Loss : 0.251956688351585
Epoch 30, Loss : 0.25187579320479486
Epoch 32, Loss : 0.2518005443252256
Epoch 34, Loss : 0.25172869150468624
Epoch 36, Loss : 0.25165778436626
Epoch 38, Loss : 0.25159154831859676
Epoch 40, Loss : 0.25152790672547937
Epoch 42, Loss : 0.2514642842206333
Epoch 44, Loss : 0.251404873035996
Epoch 46, Loss : 0.25134701998380193
Epoch 48, Loss : 0.2512889825405392
Epoch 50, Loss : 0.2512343520921255
Epoch 52, Loss : 0.251180201450371
Epoch 54, Loss : 0.25112635474392553
Epoch 56, Loss : 0.2510749303419564
Epoch 58, Loss : 0.25102280178699155
Epoch 60, Loss : 0.2509719389142669
Epoch 62, Loss : 0.25092239608480893
Epoch 64, Loss : 0.2508708909160904
Epoch 66, Loss : 0.25082196254299133
Epoch 68, Loss : 0.2507726037935855
Epoch 70, Loss : 0.2507220121936445
Epoch 72, Loss : 0.25067313826364357
Epoch 74, Loss : 0.2506223284020167
Epoch 76, Loss : 0.25057228702376255
Epoch 78, Loss : 0.25052252218305715
Epoch 80, Loss : 0.2504698064495127
Epoch 82, Loss : 0.250418959224726
Epoch 84, Loss : 0.2503660546442308
Epoch 86, Loss : 0.2503126147295165
Epoch 88, Loss : 0.25025943657056793
Epoch 90, Loss : 0.25020274536574927
Epoch 92, Loss : 0.25014755591268295
Epoch 94, Loss : 0.2500899288454997
Epoch 96, Loss : 0.25003105118705604
Epoch 98, Loss : 0.2499721575102582
Accuracy: 100%
