Retrained the MLP using new data in misclassified-data-mlp.json
---------------------------------------------------------------
Epoch: 0 | Accuracy: 94.23% | Loss : 0.0795524771177607 | Correct Predictions: 9423/10000
Epoch: 2 | Accuracy: 96.26% | Loss : 0.023653281988551482 | Correct Predictions: 9626/10000
Epoch: 4 | Accuracy: 96.89% | Loss : 0.01374693884008958 | Correct Predictions: 9689/10000
Epoch: 6 | Accuracy: 96.89999999999999% | Loss : 0.008394513511836035 | Correct Predictions: 9690/10000
Epoch: 8 | Accuracy: 96.97% | Loss : 0.005051356886382297 | Correct Predictions: 9697/10000
Epoch: 10 | Accuracy: 97.23% | Loss : 0.0031666911917555295 | Correct Predictions: 9723/10000
Epoch: 12 | Accuracy: 97.28999999999999% | Loss : 0.001832881333491353 | Correct Predictions: 9729/10000
Epoch: 14 | Accuracy: 97.27% | Loss : 0.001083356828160184 | Correct Predictions: 9727/10000
Epoch: 16 | Accuracy: 97.33000000000001% | Loss : 0.0004647139829896153 | Correct Predictions: 9733/10000
Epoch: 18 | Accuracy: 97.41% | Loss : 0.00020036420072147036 | Correct Predictions: 9741/10000
Epoch: 20 | Accuracy: 97.5% | Loss : 0.00010656109352155614 | Correct Predictions: 9750/10000
Epoch: 22 | Accuracy: 97.47% | Loss : 0.00006899631825241718 | Correct Predictions: 9747/10000
Epoch: 24 | Accuracy: 97.48% | Loss : 0.000048673691059077814 | Correct Predictions: 9748/10000
Epoch: 26 | Accuracy: 97.5% | Loss : 0.000036206008664469694 | Correct Predictions: 9750/10000
Epoch: 28 | Accuracy: 97.53% | Loss : 0.000027460014588773838 | Correct Predictions: 9753/10000
Epoch: 30 | Accuracy: 97.56% | Loss : 0.000021830552688455518 | Correct Predictions: 9756/10000
Epoch: 32 | Accuracy: 97.54% | Loss : 0.00001754777422474247 | Correct Predictions: 9754/10000
Epoch: 34 | Accuracy: 97.52% | Loss : 0.000014533873731963383 | Correct Predictions: 9752/10000
